StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone
SID_2024001,91,81.49,Paid,6,78.82,1,Enrolled,brooke78@example.net,+1-871-609-8218
SID_2024002,75,60.33,Paid,6,68.24,1,Enrolled,ocruz@example.net,686.598.8359x49948
SID_2024003,85,76.46,Paid,8,94.71,1,Graduate,hansenalexis@example.com,288.645.4608x01508
SID_2024004,49,44.4,Overdue,2,54.02,1,Dropout,stephenmartinez@example.net,+1-573-641-3372x7114
SID_2024005,84,79.46,Paid,9,58.89,0,Enrolled,estephens@example.org,+1-770-715-7021
SID_2024006,52,47.31,Overdue,2,52.22,0,Dropout,kennethconrad@example.org,438.748.4254
SID_2024007,86,95.06,Paid,14,87.97,0,Graduate,jacksonhays@example.com,(789)251-9853x89069
SID_2024008,53,55.59,Paid,4,49.17,0,Dropout,kaitlyn26@example.org,001-783-619-4334x0961
SID_2024009,98,96.23,Paid,14,84.18,1,Graduate,amy48@example.net,534-427-0099x9718
SID_2024010,94,90.45,Paid,13,75.89,0,Graduate,baileymatthew@example.com,9527371334
SID_2024011,90,66.34,Paid,7,74.1,0,Enrolled,knightangela@example.org,786.217.6143x35052
SID_2024012,95,83.7,Paid,5,73.45,0,Graduate,tammytucker@example.net,(266)985-7764x2360
SID_2024013,85,92.85,Paid,13,71.92,1,Graduate,justin55@example.net,887.806.7523x158
SID_2024014,91,72.31,Due,9,59.45,0,Enrolled,williamperez@example.com,001-991-623-4994x933
SID_2024015,87,80.66,Paid,13,94.74,0,Graduate,glenda02@example.net,(779)696-1049
SID_2024016,50,55.68,Due,0,55.0,0,Dropout,mark68@example.org,001-519-618-4045x25542
SID_2024017,96,88.07,Paid,14,86.48,0,Graduate,dustinfarmer@example.com,+1-832-773-6636x983
SID_2024018,77,67.36,Paid,6,57.91,0,Enrolled,rojasbryan@example.org,+1-564-938-1176x7961
SID_2024019,64,62.26,Overdue,2,55.67,0,Dropout,phart@example.org,950.514.7544
SID_2024020,99,95.98,Paid,10,87.66,0,Graduate,scottcarroll@example.org,(308)647-0567
SID_2024021,62,53.23,Due,0,40.0,1,Dropout,jlane@example.com,+1-900-424-6442x75917
SID_2024022,80,84.34,Due,5,71.41,1,Enrolled,harrisonkara@example.net,001-883-852-8292x34586
SID_2024023,70,78.85,Due,9,58.59,0,Enrolled,brycehall@example.org,+1-434-504-6158
SID_2024024,94,60.68,Paid,4,55.06,0,Enrolled,kflores@example.net,+1-999-210-5924x2637
SID_2024025,76,77.95,Paid,3,60.97,0,Enrolled,xmckinney@example.org,762-539-1652
SID_2024026,84,62.42,Paid,4,76.32,0,Enrolled,sarah26@example.net,(921)311-5467x696
SID_2024027,65,41.19,Overdue,1,58.69,0,Dropout,amandaduncan@example.com,+1-405-884-2925
SID_2024028,95,89.61,Paid,6,78.1,0,Graduate,qsparks@example.net,+1-683-323-3607x4265
SID_2024029,99,90.97,Paid,9,85.06,1,Graduate,adrianweeks@example.org,597.308.3016x409
SID_2024030,86,71.41,Paid,6,68.74,1,Enrolled,christophersilva@example.org,+1-924-313-5267
