StudentID,AttendancePercentage,AverageScore,FeeStatus,LMS_Logins_Per_Week,MidtermGrade,ScholarshipHolder,Target,Email,Phone,ReportingPeriod
SID_2024001,93,78.44,Paid,6,78.82,1,Enrolled,brooke78@example.net,+1-871-609-8218,1
SID_2024001,94,77.97,Paid,6,78.82,1,Enrolled,brooke78@example.net,+1-871-609-8218,2
SID_2024001,94,80.65,Paid,6,78.82,1,Enrolled,brooke78@example.net,+1-871-609-8218,3
SID_2024001,89,81.63,Paid,6,78.82,1,Enrolled,brooke78@example.net,+1-871-609-8218,4
SID_2024002,74,56.6,Paid,6,68.24,1,Enrolled,ocruz@example.net,686.598.8359x49948,1
SID_2024002,73,59.85,Paid,6,68.24,1,Enrolled,ocruz@example.net,686.598.8359x49948,2
SID_2024002,78,60.33,Paid,6,68.24,1,Enrolled,ocruz@example.net,686.598.8359x49948,3
SID_2024002,74,63.15,Paid,6,68.24,1,Enrolled,ocruz@example.net,686.598.8359x49948,4
SID_2024003,86,79.58,Paid,8,94.71,1,Graduate,hansenalexis@example.com,288.645.4608x01508,1
SID_2024003,89,81.55,Paid,8,94.71,1,Graduate,hansenalexis@example.com,288.645.4608x01508,2
SID_2024003,91,86.46,Paid,8,94.71,1,Graduate,hansenalexis@example.com,288.645.4608x01508,3
SID_2024003,89,89.33,Paid,8,94.71,1,Graduate,hansenalexis@example.com,288.645.4608x01508,4
SID_2024004,40,30.0,Overdue,2,54.02,1,Dropout,stephenmartinez@example.net,+1-573-641-3372x7114,1
SID_2024004,41,33.06,Overdue,2,54.02,1,Dropout,stephenmartinez@example.net,+1-573-641-3372x7114,2
SID_2024004,43,39.73,Overdue,2,54.02,1,Dropout,stephenmartinez@example.net,+1-573-641-3372x7114,3
SID_2024004,49,44.4,Overdue,2,54.02,1,Dropout,stephenmartinez@example.net,+1-573-641-3372x7114,4
SID_2024005,85,78.79,Paid,9,58.89,0,Enrolled,estephens@example.org,+1-770-715-7021,1
SID_2024005,85,78.02,Paid,9,58.89,0,Enrolled,estephens@example.org,+1-770-715-7021,2
SID_2024005,86,76.53,Paid,9,58.89,0,Enrolled,estephens@example.org,+1-770-715-7021,3
SID_2024005,83,83.85,Paid,9,58.89,0,Enrolled,estephens@example.org,+1-770-715-7021,4
SID_2024006,40,34.76,Overdue,2,52.22,0,Dropout,kennethconrad@example.org,438.748.4254,1
SID_2024006,44,40.46,Overdue,2,52.22,0,Dropout,kennethconrad@example.org,438.748.4254,2
SID_2024006,46,43.44,Overdue,2,52.22,0,Dropout,kennethconrad@example.org,438.748.4254,3
SID_2024006,52,47.31,Overdue,2,52.22,0,Dropout,kennethconrad@example.org,438.748.4254,4
SID_2024007,88,97.72,Paid,14,87.97,0,Graduate,jacksonhays@example.com,(789)251-9853x89069,1
